title;author;rating;votes;url;page
"Шона Лоулес — Слова Королей и Пророков";"";"";"";"https://fantasy-worlds.org/lib/id38668/";"15"
"Женева Ли — Второй Обряд";"";"";"";"https://fantasy-worlds.org/lib/id38667/";"15"
"Женева Ли — Ужасно богатый вампир";"";"";"";"https://fantasy-worlds.org/lib/id38666/";"15"
"Галина Гончарова — Право крови";"";"";"";"https://fantasy-worlds.org/lib/id38665/";"15"
"Хелен Берд — Тайны Нового Орлеана";"";"";"";"https://fantasy-worlds.org/lib/id38664/";"15"
"Вячеслав Теркулов — Маг – хранитель Слова";"";"";"";"https://fantasy-worlds.org/lib/id38663/";"15"
"Владислав Русанов — Маг-хранитель";"";"";"";"https://fantasy-worlds.org/lib/id38662/";"15"
"Дэвид Росс — Нефритовый шар";"";"";"";"https://fantasy-worlds.org/lib/id38661/";"15"
"Ольга Пашнина — Последние стражи";"";"";"";"https://fantasy-worlds.org/lib/id38660/";"15"
"Лизавета Мягчило — Брусничное Солнце";"";"";"";"https://fantasy-worlds.org/lib/id38659/";"15"
"Алекс Инглиш — Эхо Квикторн и Золото Дракона";"";"";"";"https://fantasy-worlds.org/lib/id38658/";"15"
"Маргарита Блинова — Влюбить и обезвредить некроманта (рассказ)";"";"";"";"https://fantasy-worlds.org/lib/id38657/";"15"
"Маргарита Блинова — Бешеное счастье некроманта";"";"";"";"https://fantasy-worlds.org/lib/id38656/";"15"
"Маргарита Блинова — Несносное проклятье некроманта";"";"";"";"https://fantasy-worlds.org/lib/id38655/";"15"
"Михаэль Пайнкофер — Дело №1. Нефритовый дракон";"";"";"";"https://fantasy-worlds.org/lib/id38729/";"11"
"Чугуан Ляньму — Договор девушки и дракона";"";"";"";"https://fantasy-worlds.org/lib/id38728/";"11"
"К.О.В.Ш. — В плену синих роз";"";"";"";"https://fantasy-worlds.org/lib/id38727/";"11"
"Илья Варшавский — Человек, который видел антимир (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38726/";"11"
"Брент Уикс — Немезида ночного ангела";"";"";"";"https://fantasy-worlds.org/lib/id38725/";"11"
"Андрей Нуждин — Извне";"";"";"";"https://fantasy-worlds.org/lib/id38724/";"11"
"Яна Лехчина — Игла из серебра";"";"";"";"https://fantasy-worlds.org/lib/id38723/";"11"
"Юлия  Жукова — Академический обмен";"";"";"";"https://fantasy-worlds.org/lib/id38722/";"11"
"Юлия Гладкая — Стажер Зеркального сыска";"";"";"";"https://fantasy-worlds.org/lib/id38721/";"11"
"Артур Конан Дойл — Маракотова бездна (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38720/";"11"
"Люцида Аквила — Система для друзей. Том 1";"";"";"";"https://fantasy-worlds.org/lib/id38719/";"11"
"Ярослава Раскольникова — Вечная ночь Эрихни";"";"";"";"https://fantasy-worlds.org/lib/id38718/";"11"
"Ярослава Раскольникова — Испытания в Диких землях";"";"";"";"https://fantasy-worlds.org/lib/id38717/";"11"
